title,content,target
텔레그램만 가능 @moneyking,ㅋㅋㅋ 물건 팝니다 ㅋㅋ 싸요 ㅋㅋ 연락주세요 ㅋㅋ,검토필요
뭐든 삽니다,가격은 협의하면 됩니다. 조건은 나중에 이야기해요.,의심
불법 아님 합법적인 방법으로 월 천만원,텔레그램으로만 연락받습니다. @secret_trade 추가해주세요. 신분 확인 불필요합니다.,검토필요
무조건 대박 보장 연락주세요,임시 내용입니다 나중에 수정할 예정입니다,검토필요
장기거래 폴란드산 사과 대량 수입 희망,"수출 실적 연간 500만 달러 이상의 중견 무역업체입니다. 바이어 발굴부터 통관, 물류까지 원스톱 서비스 제공 가능합니다.",정상
중국산 태양광 패널 대량 수입 희망,수입 통관 및 국내 유통 경험 보유 업체입니다. 브로커 없이 직접 거래 희망하며 연간 계약 기준으로 협의 가능합니다.,정상
오늘 딱 하루만 특가,누구에게나 드리는 가격이 아닙니다. 특별히 연락주신 분께만 드리는 조건입니다.,의심
코인 투자 1000% 수익 보장,이 상품은 정말 좋습니다 이 상품은 정말 좋습니다 이 상품은 정말 좋습니다,검토필요
신규 바이어 모집 - 미국산 LNG 장기 도입 희망,정기 수입 바이어를 모집합니다. 월 최소 100톤 이상 구매 가능한 업체 우선 협의하며 독점 공급 계약 가능합니다.,정상
,성인 용품 익명 배송 가능합니다. 신분 확인 없이 거래 가능합니다.,검토필요
긴급 남아공산 크롬 원광 수입 문의,"CIF 인천 기준 견적 제공 가능합니다. 최소 주문 수량 50톤이며, 원산지 증명서 및 검역 서류 완비되어 있습니다. 샘플 요청 가능합니다.",정상
수출입 전문 - 한국산 농기계 아프리카 수출,해당 제품은 수출 허가 완비된 상품입니다. 연간 정기 계약 시 추가 할인 적용 가능하며 물류 지원도 제공합니다.,정상
사기 아님 진짜임 믿어주세요,미신고 외화 환전 도와드립니다 수수료 저렴,검토필요
저만 아는 루트로 저렴하게,오늘만 이 가격입니다. 내일은 가격이 올라갈 예정이니 빠른 연락 부탁드립니다.,의심
직거래 - 캐나다산 목재 펄프 대량 구매,베트남 현지 공장 직납 조건으로 가격 경쟁력 보유하고 있습니다. 주문 후 30일 이내 선적 가능하며 선적 전 검사 가능합니다.,정상
물건 대량 있음,특별한 루트로 들어오는 물건입니다. 세금 없이 저렴하게 드립니다.,의심
검증 안 됐지만 좋은 거 맞아요,소량도 가능하고 대량도 됩니다. 일단 연락주시면 맞춰드립니다.,의심
장기거래 말레이시아산 팜핵유 월 100톤 구매,"CIF 인천 기준 견적 제공 가능합니다. 최소 주문 수량 50톤이며, 원산지 증명서 및 검역 서류 완비되어 있습니다. 샘플 요청 가능합니다.",정상
신규 바이어 모집 - 독일산 자동차 부품 국내 수입 희망,당사 보유 창고에서 즉시 출고 가능한 재고 보유 중입니다. EXW 또는 FOB 조건 가능하며 선적지 검사 환영합니다.,정상
qwerty qwerty 등록 테스트,010-0000-1111 카톡 주세요. 빠른 답변 드립니다. 신분증 불필요합니다.,검토필요
대량 베트남 공장 직납 의류 수출 거래처,당사 제품은 유럽 CE 인증 및 미국 UL 인증을 보유하고 있어 선진국 수출에 유리합니다. 문의 환영합니다.,정상
베트남산 커피 원두 정기 수입,재고 소진 시 종료됩니다. 지금 바로 연락 주셔야 합니다.,의심
중국산 태양광 패널 대량 수입 희망,사정이 있어서 급하게 처분합니다. 믿을 수 있는 분과 거래 원합니다.,의심
asd asd 123,,검토필요
비공식 루트지만 정품,가격이 말도 안 되게 싸죠? 사정이 있어서 그렇습니다. 연락주세요.,의심
한국산 LED 조명 동남아 수출,특별한 루트로 들어오는 물건입니다. 세금 없이 저렴하게 드립니다.,의심
태국산 천연고무 RSS3 수입 문의,당사 제품은 유럽 CE 인증 및 미국 UL 인증을 보유하고 있어 선진국 수출에 유리합니다. 문의 환영합니다.,정상
해외 도박 사이트 총판,코인 투자로 단기간에 큰 수익 가능합니다. 원금 보장 및 수익 보장 드립니다.,검토필요
다단계 아닌데 소개비 있음,수익 인증 사진 보내드립니다. 믿고 투자하시면 절대 손해 없습니다.,검토필요
직거래 - 멕시코산 아보카도 정기 수입,"원산지 인도이며 유기농 인증 제품입니다. 연간 계약 기준 1,000톤 이상 공급 가능합니다. 샘플 무료 제공 가능합니다.",정상
특수 루트 수입품,출처는 확인해드릴 수 없지만 제품은 좋습니다. 샘플은 드릴 수 있어요.,의심
제목없음,ㅋㅋㅋ 물건 팝니다 ㅋㅋ 싸요 ㅋㅋ 연락주세요 ㅋㅋ,검토필요
직거래 - 한국산 LED 조명 동남아 수출,"수출 실적 연간 500만 달러 이상의 중견 무역업체입니다. 바이어 발굴부터 통관, 물류까지 원스톱 서비스 제공 가능합니다.",정상
대량 카자흐스탄산 밀 대량 수입,수입 관세 및 통관 절차 전반에 대한 지원 가능합니다. 관련 서류 일체 당사가 준비하며 원활한 거래를 보장합니다.,정상
물건 대량 있음,자세한 내용은 연락주세요. 카카오톡으로 연락 주시면 빠른 답변 드리겠습니다.,의심
???,텔레그램으로만 연락받습니다. @secret_trade 추가해주세요. 신분 확인 불필요합니다.,검토필요
한국산 농기계 아프리카 수출,"원산지 인도이며 유기농 인증 제품입니다. 연간 계약 기준 1,000톤 이상 공급 가능합니다. 샘플 무료 제공 가능합니다.",정상
직거래 - 터키산 섬유 원단 수입 거래처 모집,"FOB 조건으로 월 500톤 공급 가능합니다. 품질 인증서 및 검사 성적서 구비되어 있으며, 장기 거래 시 가격 협의 가능합니다.",정상
좋은 물건 있어요 관심있으면 연락,수익 100% 보장합니다. 믿고 거래하시면 절대 후회 없습니다.,의심
직거래 - 한국산 농기계 아프리카 수출,ISO 인증 완비된 제조사 직납 조건입니다. MOQ 100톤 이상이며 월 최대 500톤까지 공급 가능합니다. 장기 계약 시 우대 가격 적용 가능합니다.,정상
사기 아님 진짜임 믿어주세요,불법 총기 부품 구합니다 조용히 거래 원합니다,검토필요
비공식 루트지만 정품,수익 인증 사진 보내드립니다. 믿고 투자하시면 절대 손해 없습니다.,검토필요
수출입 전문 - 한국산 농기계 아프리카 수출,베트남 현지 공장 직납 조건으로 가격 경쟁력 보유하고 있습니다. 주문 후 30일 이내 선적 가능하며 선적 전 검사 가능합니다.,정상
클릭하면 선물 드려요,1234567890 1234567890 1234567890 1234567890,검토필요
중국산 PP레진 FOB 조건 판매,물건 종류는 만나면 알려드릴게요. 일단 연락만 주세요.,의심
???,정품 인증 없는 제품 대량 보유 중입니다. 세금계산서 없이 현금 거래만 가능합니다.,검토필요
아무도 모르는 좋은 제품,출처는 확인해드릴 수 없지만 제품은 좋습니다. 샘플은 드릴 수 있어요.,의심
가격 공개 불가 문의 요망,현금만 받습니다. 영수증 없이 거래합니다. 세금 없습니다.,검토필요
123 123 123 확인용,010-0000-1111 카톡 주세요. 빠른 답변 드립니다. 신분증 불필요합니다.,검토필요
물건 구합니다 아무거나,중간 업체 없이 직접 거래라 저렴합니다. 선입금 후 물건 보내드립니다.,의심
필리핀산 바나나 정기 수입 바이어,국제 품질 기준을 충족하며 제3자 검사 기관 검사 완료된 제품입니다. T/T 또는 L/C 결제 모두 수용 가능합니다.,정상
특별한 물건 보유 중,재고 소진 시 종료됩니다. 지금 바로 연락 주셔야 합니다.,의심
급매 싸게 드립니다,물건은 확실한데 서류가 좀 부족합니다. 그래도 품질은 보장드립니다.,의심
카자흐스탄산 밀 대량 수입,오늘만 이 가격입니다. 내일은 가격이 올라갈 예정이니 빠른 연락 부탁드립니다.,의심
비밀 보장 특별 거래,개인 사정으로 인해 자세한 내용은 공개하기 어렵습니다. 연락주시면 설명드리겠습니다.,의심
가격 따로 문의,검증된 물건이지만 출처는 말씀드리기 어렵습니다. 믿고 거래하셔도 됩니다.,의심
물건 급처 연락 바람,중간 업체 없이 직접 거래라 저렴합니다. 선입금 후 물건 보내드립니다.,의심
대량 한국산 건설 자재 중동 수출,"당사는 10년 이상 무역 경력의 수출입 전문 업체입니다. L/C 및 T/T 결제 모두 가능하며, 정기적인 물량 공급이 가능합니다.",정상
긴급 한국산 농기계 아프리카 수출,수입 독점 계약 가능한 업체 모집 중입니다. 기술 지원 및 A/S 가능하며 현지 법인 보유로 직거래 가능합니다.,정상
한국산 냉연강판 월 200톤 공급 가능,이 물건 저밖에 없습니다. 빠른 결정 부탁드립니다.,의심
010-1234-5678 바로 연락주세요,미신고 외화 환전 도와드립니다 수수료 저렴,검토필요
수출입 전문 - 한국산 의약품 원료 수출 가능,"당사는 10년 이상 무역 경력의 수출입 전문 업체입니다. L/C 및 T/T 결제 모두 가능하며, 정기적인 물량 공급이 가능합니다.",정상
개인 사정으로 급처분,자세한 내용은 연락주세요. 카카오톡으로 연락 주시면 빠른 답변 드리겠습니다.,의심
조건 없이 삽니다,자세한 내용은 연락주세요. 카카오톡으로 연락 주시면 빠른 답변 드리겠습니다.,의심
일단 연락주시면 설명드려요,수익 100% 보장합니다. 믿고 거래하시면 절대 후회 없습니다.,의심
해외 도박 사이트 총판,마약류 원료 수입 가능하신 분 연락주세요,검토필요
남들 모르는 좋은 상품,투자금 100만원으로 한 달 만에 1000만원 수익 가능합니다. 지금 바로 연락하세요.,검토필요
한국산 의약품 원료 수출 가능,개인 사정으로 인해 자세한 내용은 공개하기 어렵습니다. 연락주시면 설명드리겠습니다.,의심
직거래 - 미국산 옥수수 대량 수입 가능,당사 제품은 유럽 CE 인증 및 미국 UL 인증을 보유하고 있어 선진국 수출에 유리합니다. 문의 환영합니다.,정상
개인 사정으로 급처분,클릭하면 경품 드립니다. 지금 바로 연락주세요. 선착순 100명 한정입니다.,검토필요
선착순 마감 임박,물건은 확실한데 서류가 좀 부족합니다. 그래도 품질은 보장드립니다.,의심
